task_id,asset_id,department,asset_type,defect_type,maintenance_type,severity,criticality,overdue_days,estimated_duration_hours,safety_risk,operational_impact,corridor_id,deadline,priority_score,priority_class
M-000001,S&-0052,S&T,Track Circuit,Track Circuit Fault,Overdue,3,100,12,3.0,58,61,C05,2026-08-27,71.75,High
M-000002,TR-0001,Traction,OHE,Feeder Inspection Overdue,Overdue,1,75,0,0.5,7,43,C03,2026-08-26,34.35,Low
M-000003,S&-0119,S&T,Track Circuit,Interlocking Fault,Overdue,2,62,10,2.0,45,48,C12,2026-08-26,50.3,Medium
M-000004,EN-0043,Engineering,Track,Rail Wear,Inspection,4,26,9,3.0,65,45,C03,2026-08-25,50.3,Medium
M-000005,EN-0147,Engineering,Rail,Rail Crack,Overdue,2,49,2,2.0,26,48,C02,2026-08-26,36.6,Low
M-000006,TR-0098,Traction,OHE,OHE Wear,Inspection,3,70,14,0.5,62,55,C05,2026-08-29,64.15,High
M-000007,EN-0115,Engineering,Rail,Track Geometry Deviation,Overdue,1,55,17,1.5,22,33,C14,2026-08-30,42.6,Medium
M-000008,S&-0096,S&T,Interlocking,Track Circuit Fault,Preventive,5,32,0,3.0,100,67,C09,2026-08-26,59.65,Medium
M-000009,S&-0044,S&T,Signal,Signal Failure,Inspection,1,56,2,1.0,12,32,C02,2026-08-27,29.5,Low
M-000010,TR-0092,Traction,OHE,Feeder Inspection Overdue,Inspection,3,44,10,3.0,48,52,C10,2026-08-25,50.1,Medium
M-000011,S&-0099,S&T,Signal,Track Circuit Fault,Inspection,5,8,1,1.0,100,36,C04,2026-08-29,48.55,Medium
M-000012,S&-0061,S&T,Signal,Point Machine Degradation,Corrective,1,75,18,1.0,16,50,C05,2026-08-29,50.7,Medium
M-000013,S&-0058,S&T,Track Circuit,Point Machine Degradation,Preventive,2,64,13,1.0,42,46,C06,2026-08-30,52.25,Medium
M-000014,S&-0087,S&T,Point Machine,Signal Failure,Preventive,3,59,0,1.5,55,69,C15,2026-08-29,51.05,Medium
M-000015,S&-0109,S&T,Signal,Signal Failure,Corrective,2,24,10,1.5,23,38,C09,2026-08-29,33.0,Low
M-000016,TR-0003,Traction,Feeder,Isolator Defect,Inspection,4,63,7,2.0,71,57,C07,2026-08-30,62.9,High
M-000017,S&-0021,S&T,Point Machine,Point Machine Degradation,Overdue,3,73,1,3.0,72,60,C02,2026-08-25,58.05,Medium
M-000018,TR-0052,Traction,OHE,Feeder Inspection Overdue,Corrective,4,64,10,4.0,83,64,C06,2026-08-26,68.9,High
M-000019,S&-0047,S&T,Point Machine,Signal Failure,Preventive,2,80,19,0.5,35,77,C06,2026-08-28,64.8,High
M-000020,TR-0092,Traction,OHE,OHE Wear,Corrective,3,73,0,0.5,51,71,C10,2026-08-30,54.75,Medium
M-000021,S&-0063,S&T,Track Circuit,Interlocking Fault,Corrective,4,72,0,2.0,56,76,C11,2026-08-26,60.2,High
M-000022,EN-0108,Engineering,Rail,Ballast Defect,Overdue,2,72,26,1.0,36,61,C09,2026-08-26,60.95,High
M-000023,S&-0030,S&T,Signal,Point Machine Degradation,Overdue,3,58,16,1.5,49,36,C05,2026-08-31,56.6,Medium
M-000024,EN-0059,Engineering,Ballast,Track Geometry Deviation,Corrective,3,48,11,1.0,54,53,C11,2026-08-26,53.4,Medium
M-000025,EN-0025,Engineering,Ballast,Rail Wear,Inspection,5,74,10,0.5,80,78,C15,2026-08-26,77.4,High
M-000026,EN-0011,Engineering,Rail,Rail Wear,Inspection,5,54,9,1.5,89,74,C12,2026-08-29,71.85,High
M-000027,EN-0069,Engineering,Track,Ballast Defect,Corrective,1,31,4,4.0,21,28,C08,2026-08-27,24.7,Low
M-000028,TR-0036,Traction,OHE,Isolator Defect,Inspection,3,22,15,1.0,53,29,C08,2026-08-31,44.8,Medium
M-000029,EN-0057,Engineering,Ballast,Rail Wear,Preventive,3,24,4,3.0,63,35,C12,2026-08-30,40.05,Medium
M-000030,S&-0074,S&T,Point Machine,Signal Failure,Corrective,1,55,5,0.5,21,53,C12,2026-08-25,36.4,Low
M-000031,EN-0123,Engineering,Sleeper,Track Geometry Deviation,Inspection,5,62,9,0.5,100,62,C03,2026-08-25,74.65,High
M-000032,EN-0075,Engineering,Track,Ballast Defect,Preventive,3,83,0,1.5,45,68,C10,2026-08-25,56.1,Medium
M-000033,TR-0033,Traction,Insulator,OHE Wear,Overdue,5,45,13,0.5,91,67,C16,2026-08-29,71.5,High
M-000034,EN-0030,Engineering,Sleeper,Sleeper Defect,Preventive,4,48,15,2.0,62,65,C06,2026-08-29,63.8,High
M-000035,EN-0079,Engineering,Ballast,Sleeper Defect,Preventive,4,21,12,1.5,78,47,C07,2026-08-25,53.95,Medium
M-000036,EN-0017,Engineering,Sleeper,Ballast Defect,Corrective,3,56,14,3.0,47,53,C09,2026-08-25,56.65,Medium
M-000037,TR-0103,Traction,Isolator,OHE Wear,Corrective,4,77,14,2.0,66,69,C20,2026-08-28,73.15,High
M-000038,S&-0039,S&T,Signal,Track Circuit Fault,Inspection,4,76,10,1.0,76,71,C18,2026-08-31,72.15,High
M-000039,S&-0062,S&T,Interlocking,Signal Failure,Inspection,4,24,11,3.0,77,35,C12,2026-08-25,52.1,Medium
M-000040,EN-0106,Engineering,Ballast,Ballast Defect,Corrective,1,46,3,2.0,26,36,C11,2026-08-29,30.65,Low
M-000041,S&-0124,S&T,Signal,Track Circuit Fault,Corrective,1,53,32,3.0,14,39,C14,2026-08-30,43.55,Medium
M-000042,EN-0016,Engineering,Track,Track Geometry Deviation,Overdue,4,76,22,3.0,64,73,C12,2026-08-29,77.55,High
M-000043,EN-0156,Engineering,Rail,Rail Crack,Inspection,3,76,1,0.5,42,57,C12,2026-08-25,52.5,Medium
M-000044,S&-0022,S&T,Point Machine,Track Circuit Fault,Corrective,5,35,12,3.0,92,47,C11,2026-08-31,64.95,High
M-000045,TR-0035,Traction,Feeder,Insulator Defect,Corrective,2,38,0,1.0,43,35,C04,2026-08-28,33.25,Low
M-000046,EN-0055,Engineering,Track,Rail Crack,Corrective,5,76,14,4.0,93,68,C18,2026-08-25,82.1,Critical
M-000047,TR-0045,Traction,OHE,OHE Wear,Preventive,2,35,12,0.5,28,27,C20,2026-08-28,37.15,Low
M-000048,TR-0059,Traction,OHE,Feeder Inspection Overdue,Overdue,2,48,0,4.0,26,39,C19,2026-08-31,33.45,Low
M-000049,EN-0141,Engineering,Ballast,Rail Wear,Inspection,3,83,6,2.0,49,75,C11,2026-08-28,62.45,High
M-000050,EN-0064,Engineering,Sleeper,Rail Crack,Preventive,2,52,11,1.5,38,50,C09,2026-08-26,46.95,Medium
M-000051,TR-0058,Traction,Feeder,Isolator Defect,Preventive,4,95,7,0.5,80,83,C05,2026-08-30,78.2,High
M-000052,TR-0008,Traction,Insulator,Feeder Inspection Overdue,Overdue,3,63,25,0.5,54,42,C20,2026-08-28,63.0,High
M-000053,EN-0060,Engineering,Sleeper,Track Geometry Deviation,Corrective,1,22,3,1.5,22,7,C01,2026-08-25,18.3,Low
M-000054,S&-0033,S&T,Track Circuit,Point Machine Degradation,Overdue,3,81,0,3.0,58,74,C02,2026-08-27,59.0,Medium
M-000055,S&-0039,S&T,Signal,Interlocking Fault,Preventive,1,83,0,0.5,20,54,C18,2026-08-28,41.0,Medium
M-000056,TR-0039,Traction,Insulator,Feeder Inspection Overdue,Overdue,4,64,1,1.0,73,72,C18,2026-08-28,61.35,High
M-000057,S&-0081,S&T,Track Circuit,Signal Failure,Preventive,2,87,15,3.0,30,75,C19,2026-08-27,62.6,High
M-000058,EN-0151,Engineering,Ballast,Track Geometry Deviation,Inspection,3,46,8,4.0,66,42,C01,2026-08-26,51.3,Medium
M-000059,EN-0087,Engineering,Sleeper,Track Geometry Deviation,Overdue,1,87,7,3.0,26,52,C07,2026-08-27,48.35,Medium
M-000060,TR-0081,Traction,OHE,Isolator Defect,Corrective,1,45,0,0.5,1,25,C06,2026-08-28,21.45,Low
M-000061,TR-0101,Traction,Feeder,Feeder Inspection Overdue,Corrective,3,70,14,4.0,48,67,C06,2026-08-29,63.15,High
M-000062,EN-0057,Engineering,Ballast,Rail Crack,Inspection,2,21,4,1.0,38,21,C12,2026-08-31,28.05,Low
M-000063,S&-0058,S&T,Track Circuit,Track Circuit Fault,Inspection,1,58,12,1.5,14,40,C06,2026-08-31,39.2,Low
M-000064,S&-0057,S&T,Interlocking,Track Circuit Fault,Overdue,3,82,15,0.5,58,69,C04,2026-08-26,69.8,High
M-000065,S&-0073,S&T,Interlocking,Point Machine Degradation,Corrective,4,50,4,2.0,70,56,C04,2026-08-29,56.4,Medium
M-000066,EN-0109,Engineering,Sleeper,Rail Crack,Overdue,5,69,6,4.0,96,60,C07,2026-08-29,73.4,High
M-000067,S&-0036,S&T,Interlocking,Interlocking Fault,Inspection,4,62,14,1.5,76,62,C02,2026-08-30,69.6,High
