asset_id,department,asset_type,component_type,corridor_id,subsection_id,work_area_id,from_station,to_station,asset_status,criticality_class,typical_issue
ENG-00001,Engineering,Bridge,Bridge Structure,C02,C02-S04,C02-WA04,ST02,ST03,IN_SERVICE,LOW,Bridge inspection
ENG-00002,Engineering,Track,Rail,C03,C03-S02,C03-WA02,ST03,ST04,IN_SERVICE,MEDIUM,Rail defect / wear
ENG-00003,Engineering,Bridge,Bridge Structure,C03,C03-S04,C03-WA04,ST03,ST04,MONITORING,HIGH,Bridge inspection
ENG-00004,Engineering,Track,Sleeper,C03,C03-S04,C03-WA04,ST03,ST04,IN_SERVICE,MEDIUM,Sleeper deterioration
ENG-00005,Engineering,Track,Sleeper,C04,C04-S02,C04-WA02,ST04,ST05,IN_SERVICE,HIGH,Sleeper deterioration
ENG-00006,Engineering,Track,Turnout,C04,C04-S02,C04-WA02,ST04,ST05,MONITORING,HIGH,Turnout defect
ENG-00007,Engineering,Track,Ballast,C01,C01-S04,C01-WA04,ST01,ST02,IN_SERVICE,MEDIUM,Ballast condition
ENG-00008,Engineering,Track,Ballast,C03,C03-S04,C03-WA04,ST03,ST04,IN_SERVICE,HIGH,Ballast condition
ENG-00009,Engineering,Track,Ballast,C01,C01-S01,C01-WA01,ST01,ST02,MONITORING,MEDIUM,Ballast condition
ENG-00010,Engineering,Track,Sleeper,C01,C01-S01,C01-WA01,ST01,ST02,IN_SERVICE,CRITICAL,Sleeper deterioration
ENG-00011,Engineering,Track,Ballast,C02,C02-S04,C02-WA04,ST02,ST03,MONITORING,MEDIUM,Ballast condition
ENG-00012,Engineering,Track,Rail,C03,C03-S02,C03-WA02,ST03,ST04,MONITORING,MEDIUM,Rail defect / wear
ENG-00013,Engineering,Track,Turnout,C01,C01-S04,C01-WA04,ST01,ST02,IN_SERVICE,CRITICAL,Turnout defect
ENG-00014,Engineering,Track,Rail,C02,C02-S02,C02-WA02,ST02,ST03,IN_SERVICE,MEDIUM,Rail defect / wear
ENG-00015,Engineering,Track,Ballast,C01,C01-S02,C01-WA02,ST01,ST02,IN_SERVICE,CRITICAL,Ballast condition
ENG-00016,Engineering,Bridge,Bridge Structure,C04,C04-S03,C04-WA03,ST04,ST05,IN_SERVICE,MEDIUM,Bridge inspection
ENG-00017,Engineering,Bridge,Bridge Structure,C04,C04-S03,C04-WA03,ST04,ST05,IN_SERVICE,MEDIUM,Bridge inspection
ENG-00018,Engineering,Bridge,Bridge Structure,C01,C01-S04,C01-WA04,ST01,ST02,IN_SERVICE,LOW,Bridge inspection
ENG-00019,Engineering,Track,Rail,C03,C03-S01,C03-WA01,ST03,ST04,IN_SERVICE,HIGH,Rail defect / wear
ENG-00020,Engineering,Bridge,Bridge Structure,C04,C04-S02,C04-WA02,ST04,ST05,IN_SERVICE,LOW,Bridge inspection
ENG-00021,Engineering,Track,Sleeper,C01,C01-S03,C01-WA03,ST01,ST02,MONITORING,MEDIUM,Sleeper deterioration
ENG-00022,Engineering,Bridge,Bridge Structure,C02,C02-S04,C02-WA04,ST02,ST03,IN_SERVICE,CRITICAL,Bridge inspection
ENG-00023,Engineering,Track,Turnout,C02,C02-S02,C02-WA02,ST02,ST03,IN_SERVICE,MEDIUM,Turnout defect
ENG-00024,Engineering,Track,Turnout,C04,C04-S03,C04-WA03,ST04,ST05,IN_SERVICE,HIGH,Turnout defect
ENG-00025,Engineering,Track,Rail,C03,C03-S04,C03-WA04,ST03,ST04,MONITORING,MEDIUM,Rail defect / wear
ENG-00026,Engineering,Track,Sleeper,C02,C02-S02,C02-WA02,ST02,ST03,IN_SERVICE,LOW,Sleeper deterioration
ENG-00027,Engineering,Track,Turnout,C04,C04-S02,C04-WA02,ST04,ST05,IN_SERVICE,HIGH,Turnout defect
ENG-00028,Engineering,Track,Ballast,C02,C02-S04,C02-WA04,ST02,ST03,IN_SERVICE,MEDIUM,Ballast condition
ENG-00029,Engineering,Bridge,Bridge Structure,C04,C04-S04,C04-WA04,ST04,ST05,IN_SERVICE,CRITICAL,Bridge inspection
ENG-00030,Engineering,Track,Rail,C01,C01-S03,C01-WA03,ST01,ST02,IN_SERVICE,MEDIUM,Rail defect / wear
ENG-00031,Engineering,Track,Rail,C03,C03-S01,C03-WA01,ST03,ST04,IN_SERVICE,MEDIUM,Rail defect / wear
ENG-00032,Engineering,Track,Ballast,C01,C01-S04,C01-WA04,ST01,ST02,IN_SERVICE,MEDIUM,Ballast condition
ENG-00033,Engineering,Track,Sleeper,C04,C04-S04,C04-WA04,ST04,ST05,IN_SERVICE,LOW,Sleeper deterioration
ENG-00034,Engineering,Track,Turnout,C03,C03-S01,C03-WA01,ST03,ST04,IN_SERVICE,MEDIUM,Turnout defect
ENG-00035,Engineering,Track,Rail,C02,C02-S01,C02-WA01,ST02,ST03,MONITORING,MEDIUM,Rail defect / wear
ENG-00036,Engineering,Track,Turnout,C01,C01-S04,C01-WA04,ST01,ST02,MONITORING,MEDIUM,Turnout defect
ENG-00037,Engineering,Track,Ballast,C04,C04-S02,C04-WA02,ST04,ST05,IN_SERVICE,MEDIUM,Ballast condition
ENG-00038,Engineering,Track,Turnout,C01,C01-S03,C01-WA03,ST01,ST02,MONITORING,MEDIUM,Turnout defect
ENG-00039,Engineering,Track,Sleeper,C01,C01-S03,C01-WA03,ST01,ST02,IN_SERVICE,MEDIUM,Sleeper deterioration
ENG-00040,Engineering,Bridge,Bridge Structure,C04,C04-S01,C04-WA01,ST04,ST05,IN_SERVICE,LOW,Bridge inspection
ENG-00041,Engineering,Track,Rail,C04,C04-S02,C04-WA02,ST04,ST05,MONITORING,CRITICAL,Rail defect / wear
