request_id,department,planning_type,preferred_day,corridor_id,subsection_id,work_area_id,from_station,to_station,asset_id,asset_type,maintenance_type,issue,severity,criticality,urgency,overdue_days,estimated_duration_hours,safety_risk,operational_impact,request_status,planning_cycle,request_source,deadline_day,controller_status,approval_required
REQ-00001,Engineering,NORMAL,Tuesday,C04,C04-S04,C04-WA04,ST04,ST05,ENG-00068,Track,Track Inspection,Track geometry deviation,3,65,NORMAL,0,1.0,50,45,PENDING,NEXT_7_DAYS,ENGINEERING,Saturday,PENDING_REVIEW,True
REQ-00002,Engineering,EMERGENCY,Sunday,C01,C01-S02,C01-WA02,ST01,ST02,ENG-00055,Track,Turnout Maintenance,Sleeper deterioration,3,80,IMMEDIATE,7,2.5,26,58,PENDING,NEXT_7_DAYS,ENGINEERING,Sunday,PENDING_REVIEW,True
REQ-00003,Engineering,EMERGENCY,Wednesday,C01,C01-S02,C01-WA02,ST01,ST02,ENG-00177,Rail,Rail Renewal,Sleeper deterioration,3,59,IMMEDIATE,0,1.0,72,23,PENDING,NEXT_7_DAYS,ENGINEERING,Wednesday,PENDING_REVIEW,True
REQ-00004,Engineering,NORMAL,Sunday,C04,C04-S04,C04-WA04,ST04,ST05,ENG-00005,Turnout,Rail Renewal,Turnout defect,3,52,NORMAL,10,3.5,53,20,PENDING,NEXT_7_DAYS,ENGINEERING,Friday,PENDING_REVIEW,True
REQ-00005,Engineering,NORMAL,Thursday,C04,C04-S03,C04-WA03,ST04,ST05,ENG-00095,Track,Sleeper Replacement,Ballast condition,2,37,MEDIUM,0,1.5,42,48,PENDING,NEXT_7_DAYS,ENGINEERING,Tuesday,PENDING_REVIEW,True
REQ-00006,Engineering,NORMAL,Tuesday,C04,C04-S04,C04-WA04,ST04,ST05,ENG-00016,Rail,Bridge Inspection,Ballast condition,5,51,MEDIUM,0,3.5,12,29,PENDING,NEXT_7_DAYS,ENGINEERING,Wednesday,PENDING_REVIEW,True
REQ-00007,Engineering,NORMAL,Sunday,C03,C03-S02,C03-WA02,ST03,ST04,ENG-00135,Rail,Track Inspection,Joint/weld defect,4,81,NORMAL,5,2.0,42,61,PENDING,NEXT_7_DAYS,ENGINEERING,Monday,PENDING_REVIEW,True
REQ-00008,Engineering,NORMAL,Saturday,C02,C02-S02,C02-WA02,ST02,ST03,ENG-00064,Turnout,Bridge Inspection,Ballast condition,4,30,NORMAL,0,2.0,19,48,PENDING,NEXT_7_DAYS,ENGINEERING,Tuesday,PENDING_REVIEW,True
REQ-00009,Engineering,URGENT,Wednesday,C01,C01-S01,C01-WA01,ST01,ST02,ENG-00158,Bridge,Rail Renewal,Rail wear,3,63,HIGH,0,2.5,23,58,PENDING,NEXT_7_DAYS,ENGINEERING,Wednesday,PENDING_REVIEW,True
REQ-00010,Engineering,NORMAL,Tuesday,C01,C01-S03,C01-WA03,ST01,ST02,ENG-00147,Sleeper,Track Maintenance,Turnout defect,4,57,LOW,1,3.5,55,49,PENDING,NEXT_7_DAYS,ENGINEERING,Sunday,PENDING_REVIEW,True
REQ-00011,Engineering,NORMAL,Monday,C03,C03-S02,C03-WA02,ST03,ST04,ENG-00169,Turnout,Track Maintenance,Turnout defect,2,54,LOW,0,2.5,41,30,PENDING,NEXT_7_DAYS,ENGINEERING,Wednesday,PENDING_REVIEW,True
REQ-00012,Engineering,NORMAL,Saturday,C02,C02-S03,C02-WA03,ST02,ST03,ENG-00103,Sleeper,Track Inspection,Rail wear,3,67,NORMAL,3,1.0,48,39,PENDING,NEXT_7_DAYS,ENGINEERING,Monday,PENDING_REVIEW,True
REQ-00013,Engineering,URGENT,Wednesday,C02,C02-S01,C02-WA01,ST02,ST03,ENG-00136,Sleeper,Track Maintenance,Track geometry deviation,2,55,HIGH,10,1.0,32,64,PENDING,NEXT_7_DAYS,ENGINEERING,Wednesday,PENDING_REVIEW,True
REQ-00014,Engineering,NORMAL,Tuesday,C02,C02-S01,C02-WA01,ST02,ST03,ENG-00070,Track,Track Maintenance,Rail wear,1,32,MEDIUM,0,2.5,33,72,PENDING,NEXT_7_DAYS,ENGINEERING,Saturday,PENDING_REVIEW,True
REQ-00015,Engineering,NORMAL,Monday,C03,C03-S03,C03-WA03,ST03,ST04,ENG-00114,Turnout,Track Maintenance,Joint/weld defect,3,78,NORMAL,0,2.5,69,45,PENDING,NEXT_7_DAYS,ENGINEERING,Tuesday,PENDING_REVIEW,True
REQ-00016,Engineering,NORMAL,Tuesday,C01,C01-S01,C01-WA01,ST01,ST02,ENG-00047,Rail,Track Maintenance,Ballast condition,4,75,NORMAL,0,3.0,44,10,PENDING,NEXT_7_DAYS,ENGINEERING,Thursday,PENDING_REVIEW,True
REQ-00017,Engineering,NORMAL,Tuesday,C01,C01-S03,C01-WA03,ST01,ST02,ENG-00037,Track,Turnout Maintenance,Track geometry deviation,2,35,NORMAL,0,4.0,15,62,PENDING,NEXT_7_DAYS,ENGINEERING,Wednesday,PENDING_REVIEW,True
REQ-00018,Engineering,NORMAL,Wednesday,C01,C01-S02,C01-WA02,ST01,ST02,ENG-00070,Track,Track Inspection,Turnout defect,4,79,NORMAL,0,1.0,93,89,PENDING,NEXT_7_DAYS,ENGINEERING,Monday,PENDING_REVIEW,True
